,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,Drug Reaction,"Always tell your doctor about any known allergies, past drug reactions, and current medications before starting a new one.","Check the drug’s ingredients, dosage instructions, and warnings to avoid potential allergens or interactions.","Don’t take over-the-counter or prescription drugs without medical advice, especially if you're taking other medications.","After starting a new medication, watch for signs like rash, swelling, dizziness, or difficulty breathing, and seek medical help immediately if they occur."
1,Malaria,"Sleep under insecticide-treated mosquito nets, especially in malaria-prone areas, to prevent mosquito bites at night.","Use repellents on exposed skin and clothing to ward off mosquitoes, especially during dusk and dawn.","Eliminate or cover standing water around your home, as it serves as a breeding ground for mosquitoes.","If traveling to high-risk areas, consult a doctor about antimalarial medicines and follow the prescribed dosage schedule."
2,Allergy,"Know what you're allergic to (like pollen, dust, food, or pet dander) and minimize exposure to those allergens.","Regularly clean your living space to reduce allergens like dust mites, mold, and pet hair.","If you have severe allergies, always keep antihistamines or an epinephrine auto-injector (EpiPen) with you.","Check food, skincare, and medication labels to avoid accidental exposure to allergens."
3,Hypothyroidism,"Follow your doctor’s instructions and take thyroid hormone (levothyroxine) at the same time every day, preferably on an empty stomach.",Regularly monitor thyroid hormone levels with blood tests to ensure proper dosage and effective treatment.,"Limit foods that interfere with thyroid function (like soy, cruciferous vegetables, and high-fiber foods) and ensure adequate iodine intake if advised.",Engage in regular physical activity and stress-reducing practices to support overall thyroid and metabolic health.
4,Psoriasis,"Keep your skin well-hydrated with gentle, fragrance-free moisturizers to reduce dryness and scaling.","Identify and avoid flare-up triggers like stress, smoking, alcohol, skin injuries, and certain medications.","Use prescribed creams, phototherapy, or medications consistently as directed by your dermatologist.","Use sunscreen, avoid harsh skincare products, and wear soft clothing to prevent skin irritation and damage."
5,GERD,Avoid large or heavy meals that can increase stomach pressure and trigger reflux.,"Limit spicy, acidic, fried, or fatty foods, as well as caffeine, chocolate, and carbonated drinks.",Wait at least 2–3 hours after meals before lying down or going to bed to prevent acid from flowing back into the esophagus.,Excess weight increases pressure on the abdomen and can worsen GERD symptoms; regular exercise and balanced eating can help.
6,Chronic cholestasis,Avoid Alcohol and Hepatotoxic Drugs. These can worsen liver function and bile flow obstruction.,Follow a Low-Fat Diet. It reduces strain on the liver and minimizes fat malabsorption symptoms.,Use medications like ursodeoxycholic acid as directed to improve bile flow.,Routine liver function tests help track disease progression and guide treatment.
7,hepatitis A,Wash hands thoroughly after using the bathroom and before eating.,"Use clean, filtered or boiled water, especially in areas with poor sanitation.","Ensure all food is properly cooked, particularly shellfish.","Hepatitis A vaccine provides effective prevention, especially when traveling to high-risk areas."
8,Osteoarthristis,Maintain Healthy Weight. It reduces stress on weight-bearing joints like the knees and hips.,"Low-impact activities like walking, swimming, or cycling help strengthen muscles around joints.",Avoid Joint Overuse. Use proper techniques during activities and avoid repetitive joint stress.,"Use supportive devices. Braces, shoe inserts, or canes may reduce joint strain and pain."
9,(vertigo) Paroymsal  Positional Vertigo,Avoid Sudden Head Movements. Quick changes in position can trigger vertigo episodes.,Sleep with Head Elevated. Use extra pillows to keep the head slightly raised.,Perform Repositioning Exercises. Techniques like the Epley maneuver help reposition inner ear crystals.,Stay Hydrated and Balanced. Dehydration and low blood pressure can worsen vertigo symptoms.
