,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,Fungal infection,Itching, Skin rash, Nodal skin eruptions,symptom_4
1,Fungal infection, Skin rash, Nodal skin eruptions, Dischromic patches,
2,Fungal infection,Itching, Nodal skin eruptions, Dischromic patches,
3,Fungal infection,Itching, Skin rash, Dischromic patches,
4,Fungal infection,Itching, Skin rash, Nodal skin eruptions,
5,Fungal infection, Skin rash, Nodal skin eruptions, Dischromic patches,
6,Fungal infection,Itching, Nodal skin eruptions, Dischromic patches,
7,Fungal infection,Itching, Skin rash, Dischromic patches,
8,Fungal infection,Itching, Skin rash, Nodal skin eruptions,
9,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
10,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
11,Allergy, Shivering, Chills, Watering from eyes,
12,Allergy, Continuous sneezing, Chills, Watering from eyes,
13,Allergy, Continuous sneezing, Shivering, Watering from eyes,
14,Allergy, Continuous sneezing, Shivering, Chills,
15,Allergy, Shivering, Chills, Watering from eyes,
16,Allergy, Continuous sneezing, Chills, Watering from eyes,
17,Allergy, Continuous sneezing, Shivering, Watering from eyes,
18,Allergy, Continuous sneezing, Shivering, Chills,
19,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
20,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
21,GERD, Stomach pain, Ulcers on tongue, Vomiting, Cough
22,GERD, Stomach pain, Acidity, Vomiting, Cough
23,GERD, Stomach pain, Acidity, Ulcers on tongue, Cough
24,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
25,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
26,GERD, Acidity, Ulcers on tongue, Vomiting, Cough
27,GERD, Stomach pain, Ulcers on tongue, Vomiting, Cough
28,GERD, Stomach pain, Acidity, Vomiting, Cough
29,GERD, Stomach pain, Acidity, Ulcers on tongue, Cough
30,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
31,Chronic cholestasis, Vomiting, Yellowish skin, Nausea, Loss of appetite
32,Chronic cholestasis,Itching, Yellowish skin, Nausea, Loss of appetite
