,Unnamed: 0,disease,workout
0,0,Fungal infection,Morning walks (30 minutes)
1,1,Fungal infection,"Gentle yoga (e.g., Cat-Cow, Child’s Pose, Forward Fold)"
2,2,Fungal infection,Pilates for core strength
3,3,Fungal infection,Seated resistance band exercises
4,4,Fungal infection,Tai Chi or Qigong
5,5,Fungal infection,Stretching routines (15-20 minutes daily)
6,6,Fungal infection,"Home-based light dumbbell exercises (e.g., bicep curls, shoulder press)"
7,7,Fungal infection,Indoor cycling with ventilation (20-30 minutes)
8,8,Fungal infection,Deep breathing exercises / Meditation
9,9,Fungal infection,Swimming in saltwater (only if medically cleared)
10,10,Allergy,Indoor walking or treadmill walks (30 minutes)
11,11,Allergy,Yoga with deep breathing (avoid incense or scented oils)
12,12,Allergy,"Pilates in a clean, dust-free room"
13,13,Allergy,"Bodyweight exercises at home (e.g., squats, lunges, push-ups)"
14,14,Allergy,Low-impact aerobics indoors
15,15,Allergy,Stationary biking in a well-ventilated room
16,16,Allergy,Stretching routines (10-15 minutes daily)
17,17,Allergy,Resistance band training indoors
18,18,Allergy,Light strength training with dumbbells at home
19,19,Allergy,Meditation and pranayama (in a clean-air environment)
20,20,GERD,"Walking (20–30 minutes, upright posture)"
21,21,GERD,Gentle yoga (avoid poses that compress the abdomen)
22,22,GERD,Low-impact aerobics
23,23,GERD,"Light cycling (keep body upright, avoid bending forward)"
24,24,GERD,Seated upper-body strength training
25,25,GERD,Pilates with modifications (no crunches or leg raises)
26,26,GERD,Standing resistance band exercises
27,27,GERD,Tai Chi or Qigong
28,28,GERD,Stretching routines (avoid lying flat right after meals)
29,29,GERD,Breathing exercises / Diaphragmatic breathing
30,30,Chronic cholestasis,Walking at a comfortable pace (20–30 minutes)
31,31,Chronic cholestasis,Gentle yoga (focus on relaxation and liver-supporting poses)
32,32,Chronic cholestasis,Stretching exercises (10–15 minutes daily)
33,33,Chronic cholestasis,Light resistance band workouts
34,34,Chronic cholestasis,"Seated exercises (e.g., arm raises, leg extensions)"
35,35,Chronic cholestasis,Tai Chi for stress relief and balance
36,36,Chronic cholestasis,Deep breathing and meditation
37,37,Chronic cholestasis,Slow cycling on a stationary bike
